block_id,bikes_allowed,route_id,wheelchair_accessible,direction_id,trip_headsign,shape_id,service_id,trip_id,trip_short_name
a_356088328,0,4398,0,0,201A Tropicana Eastbound,12722,13_merged_357925059,357900188,
a_356088329,0,4398,0,0,201B Tropicana Eastbound,12724,13_merged_357925059,357900189,
a_356088191,0,4419,0,1,Downtown & Veteran Medical Center Express Southbound,12861,13_merged_357925059,357899532,
a_356088192,0,4419,0,1,Downtown & Veteran Medical Center Express Southbound,12861,13_merged_357925059,357899533,
a_356088195,0,4419,0,1,Downtown & Veteran Medical Center Express Southbound,12861,13_merged_357925059,357899534,
a_356088263,0,4387,0,0,108 University Center Dr. / Paradise Northbound,12671,13_merged_357925059,357899535,
a_356088265,0,4387,0,0,108 University Center Dr. / Paradise Northbound,12671,13_merged_357925059,357899536,
a_356088259,0,4387,0,0,108 University Center Dr. / Paradise Northbound,12671,13_merged_357925059,357899537,
a_356088269,0,4387,0,0,108 University Center Dr. / Paradise Northbound,12671,13_merged_357925059,357899538,
a_356088321,0,4396,0,1,121 Buffalo / Durango Southbound,12715,13_merged_357925059,357900181,
a_356088328,0,4398,0,0,201A Tropicana Eastbound,12725,13_merged_357925059,357900182,
a_356088328,0,4398,0,0,201B Tropicana Eastbound,12724,13_merged_357925059,357900183,
a_356088328,0,4398,0,0,201A Tropicana Eastbound,12725,13_merged_357925059,357900184,
a_356088328,0,4398,0,0,201B Tropicana Eastbound,12724,13_merged_357925059,357900185,
a_356088328,0,4398,0,0,201A Tropicana Eastbound,12725,13_merged_357925059,357900186,
a_356088328,0,4398,0,0,201B Tropicana Eastbound,12724,13_merged_357925059,357900187,
a_356088097,0,4383,0,0,103 Decatur Northbound,12644,4_merged_357925060,357897046,
a_356088102,0,4383,0,0,103 Decatur Northbound,12644,4_merged_357925060,357897047,
a_356088100,0,4383,0,0,103 Decatur Northbound,12647,4_merged_357925060,357897044,
a_356088101,0,4383,0,0,103 Decatur Northbound,12648,4_merged_357925060,357897045,
a_356088099,0,4383,0,0,103 Decatur Northbound,12647,4_merged_357925060,357897042,
a_356088098,0,4383,0,0,103 Decatur Northbound,12647,4_merged_357925060,357897043,
a_356088098,0,4383,0,0,103 Decatur Northbound,12649,4_merged_357925060,357897040,
a_356088097,0,4383,0,0,103 Decatur Northbound,12649,4_merged_357925060,357897041,
a_356088103,0,4383,0,0,103 Decatur Northbound,12644,4_merged_357925060,357897048,
a_356088099,0,4383,0,0,103 Decatur Northbound,12646,4_merged_357925060,357897049,
b_356089804,0,4437,0,1,201A Tropicana Westbound,12957,2_merged_357925062,357918779,
a_356088023,0,4417,0,1,SX-B Sahara Express Westbound,12851,4_merged_357925060,357896319,
a_356088024,0,4417,0,1,SX-A Sahara Express Westbound,12850,4_merged_357925060,357896318,
a_356088172,0,4417,0,1,SX-A Sahara Express Westbound,12850,4_merged_357925060,357896311,
a_356088023,0,4417,0,1,SX-B Sahara Express Westbound,12851,4_merged_357925060,357896310,
a_356088020,0,4417,0,1,SX-B Sahara Express Westbound,12851,4_merged_357925060,357896313,
a_356087993,0,4417,0,1,SX-A Sahara Express Westbound,12850,4_merged_357925060,357896312,
a_356088021,0,4417,0,1,SX-B Sahara Express Westbound,12851,4_merged_357925060,357896315,
a_356088018,0,4417,0,1,SX-A Sahara Express Westbound,12850,4_merged_357925060,357896314,
a_356088019,0,4417,0,1,SX-B Sahara Express Westbound,12851,4_merged_357925060,357896317,
a_356088022,0,4417,0,1,SX-A Sahara Express Westbound,12850,4_merged_357925060,357896316,
b_356088679,0,4425,0,0,106A Rancho / Centennial Hills Northbound,12893,2_merged_357925062,357903372,
b_356088710,0,4425,0,0,106B Rancho / Centennial Hills Northbound,12890,2_merged_357925062,357903373,
b_356088708,0,4425,0,0,106B Rancho / Centennial Hills Northbound,12890,2_merged_357925062,357903370,
b_356088709,0,4425,0,0,106A Rancho / Centennial Hills Northbound,12893,2_merged_357925062,357903371,
b_356088487,0,4425,0,0,106B Rancho / Centennial Hills Northbound,12892,2_merged_357925062,357903376,
b_356088707,0,4425,0,0,106A Rancho / Centennial Hills Northbound,12893,2_merged_357925062,357903377,
b_356088711,0,4425,0,0,106B Rancho / Centennial Hills Northbound,12892,2_merged_357925062,357903374,
b_356088670,0,4425,0,0,106A Rancho / Centennial Hills Northbound,12893,2_merged_357925062,357903375,
b_356088486,0,4425,0,0,106B Rancho / Centennial Hills Northbound,12892,2_merged_357925062,357903378,
b_356088709,0,4425,0,0,106A Rancho / Centennial Hills Northbound,12893,2_merged_357925062,357903379,
b_356090277,0,4428,0,0,110 Eastern Northbound,12904,13_merged_357925063,357923309,
b_356090271,0,4428,0,0,110 Eastern Northbound,12904,13_merged_357925063,357923308,
a_356087148,0,4387,0,1,108 Paradise Southbound,12672,3_merged_357925057,357883872,
b_356088613,0,4436,0,0,122 S. Maryland Pkwy Northbound to SSTT,12946,4_merged_357925064,357907329,
b_356088614,0,4436,0,0,122 S. Maryland Pkwy Northbound to SSTT,12946,4_merged_357925064,357907328,
b_356088522,0,4421,0,1,102 Jones Southbound,12870,3_merged_357925061,357902139,
b_356088520,0,4421,0,1,102 Jones Southbound,12870,3_merged_357925061,357902138,
b_356088519,0,4421,0,1,102 Jones Southbound,12870,3_merged_357925061,357902133,
b_356088521,0,4421,0,1,102 Jones Southbound,12869,3_merged_357925061,357902132,
b_356088522,0,4421,0,1,102 Jones Southbound,12869,3_merged_357925061,357902131,
b_356088608,0,4436,0,0,122 S. Maryland Pkwy Northbound to SSTT,12946,4_merged_357925064,357907322,
b_356088519,0,4421,0,1,102 Jones Southbound,12870,3_merged_357925061,357902137,
b_356088521,0,4421,0,1,102 Jones Southbound,12870,3_merged_357925061,357902136,
b_356088613,0,4436,0,0,122 S. Maryland Pkwy Northbound to SSTT,12946,4_merged_357925064,357907327,
b_356088614,0,4436,0,0,122 S. Maryland Pkwy Northbound to SSTT,12946,4_merged_357925064,357907326,
a_356088443,0,4414,0,1,Deuce on The Strip Southbound,12831,13_merged_357925059,357901448,
a_356088437,0,4414,0,1,Deuce on The Strip Southbound,12831,13_merged_357925059,357901449,
a_356088436,0,4414,0,1,Deuce on The Strip Southbound,12831,13_merged_357925059,357901442,
a_356088433,0,4414,0,1,Deuce on The Strip Southbound,12831,13_merged_357925059,357901443,
a_356088446,0,4414,0,1,Deuce on The Strip Southbound,12831,13_merged_357925059,357901440,
